文本,单选,日期,附件,话题/标题,来源平台,发布时间,关键数据/热度,核心摘要,来源链接,笔记数/发帖量,话题指数,关联商品月销量,互动合计（赞+评+藏）
,,,,必朗官方 - 三折黑胶伞 通勤族的黑科技,抖音,2026-08-12,对比实验 | 16骨大号伞 8600万 | 12w粉,抖音中端雨伞赛道的对比实验内容，账号必朗官方（品牌，12w粉），围绕话题#16骨大号伞（8600万播放 / 1.6w视频 / 同比+16%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/16骨大号伞?type=video,视频1.6w / 播放8600万,搜索热度+18%,月销5万单,抖音热榜 #雨伞 #3 累计 9200万 播放
,,,,蕉下官方 - 12骨 vs 8骨 vs 6骨 哪种才防风,抖音,2026-08,品牌联名 | 一次性雨衣伞 8600万 | 210w粉,抖音防晒/高颜值赛道的品牌联名内容，账号蕉下官方（品牌，210w粉），围绕话题#一次性雨衣伞（8600万播放 / 1.6w视频 / 同比+8%），代表视频《12骨 vs 8骨 vs 6骨 哪种才防风》。,https://www.douyin.com/search/一次性雨衣伞?type=video,视频1.6w / 播放8600万,搜索热度+46%,蝉妈妈销量榜Top 1,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,浙江飞恋官方旗舰店 - 暴雨12小时 12骨伞全程无故障,抖音,2026-08-14,直播间片段 | 新娘婚庆红伞 1.8亿 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的直播间片段内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#新娘婚庆红伞（1.8亿播放 / 3.6w视频 / 同比+8%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/新娘婚庆红伞?type=video,视频3.6w / 播放1.8亿,搜索热度+8%,月销3万-5万单,短视频带货 单条 2200单 / GMV 12.8万
,,,,FULTON富尔顿 - 暴雨12小时 12骨伞全程无故障,抖音,2026-08-10,广告投放 | 透明伞 2.6亿 | 3.8w粉,抖音鸟笼伞/英伦绅士赛道的广告投放内容，账号FULTON富尔顿（英伦，3.8w粉），围绕话题#透明伞（2.6亿播放 / 5.2w视频 / 同比-2%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/透明伞?type=video,视频5.2w / 播放2.6亿,搜索热度+46%,月销5000单,抖音热搜 #飞恋伞 #持续 12小时
,,,,钓鱼伞源头 - 暴雨天打伞 vs 不打伞 实验对比,抖音,2026-08,短视频带货 | 通勤雨伞 4800万 | 3.2w粉,抖音钓鱼伞/万向/机械臂赛道的短视频带货内容，账号钓鱼伞源头（工厂，3.2w粉），围绕话题#通勤雨伞（4800万播放 / 0.8w视频 / 同比+12%），代表视频《暴雨天打伞 vs 不打伞 实验对比》。,https://www.douyin.com/search/通勤雨伞?type=video,视频0.8w / 播放4800万,搜索热度+8%,月销2万单,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,舟山小船哥 - 我把价值¥200的伞丢进搅拌机 结果,抖音,2026-08,热销榜单 | 一次性雨衣伞 8600万 | 44w粉,抖音海上/极端天气雨伞赛道的热销榜单内容，账号舟山小船哥（渔民，44w粉），围绕话题#一次性雨衣伞（8600万播放 / 1.6w视频 / 同比+8%），代表视频《我把价值¥200的伞丢进搅拌机 结果》。,https://www.douyin.com/search/一次性雨衣伞?type=video,视频1.6w / 播放8600万,搜索热度+8%,月销10万+单,POI 杭州萧山 雨伞工厂 打卡 6.8w 次
,,,,9号伞业 - 黄景瑜同款三折黑胶伞 1688平替,抖音,2026-08-12,天气纪实 | 透明伞 2.6亿 | 8.4w粉,抖音1688同款/直供赛道的天气纪实内容，账号9号伞业（工厂直播，8.4w粉），围绕话题#透明伞（2.6亿播放 / 5.2w视频 / 同比-2%），代表视频《黄景瑜同款三折黑胶伞 1688平替》。,https://www.douyin.com/search/透明伞?type=video,视频5.2w / 播放2.6亿,搜索热度+新,月销3万-5万单,单条视频 2200万 播放 / 46万 赞 / 8.2万 评论 / 12.4万 转发
,,,,天堂伞官方 - 机械臂钓鱼伞测评 万向旋转的快乐,抖音,2025-Q4,工艺揭秘 | 夜路自动伞 4200万 | 18w粉,抖音国民品牌赛道的工艺揭秘内容，账号天堂伞官方（品牌，18w粉），围绕话题#夜路自动伞（4200万播放 / 0.8w视频 / 同比新），代表视频《机械臂钓鱼伞测评 万向旋转的快乐》。,https://www.douyin.com/search/夜路自动伞?type=video,视频0.8w / 播放4200万,搜索热度+18%,月销3万-5万单,挑战赛 播放 1.8亿 / 参与 8.4w 视频
,,,,小红薯 - 雨伞工厂实拍 一天生产5000把,抖音,2026-05,反向种草 | 机械臂钓鱼伞 2400万 | 180w粉,抖音防晒伞/通勤/颜值赛道的反向种草内容，账号小红薯（种草，180w粉），围绕话题#机械臂钓鱼伞（2400万播放 / 0.4w视频 / 同比+58%），代表视频《雨伞工厂实拍 一天生产5000把》。,https://www.douyin.com/search/机械臂钓鱼伞?type=video,视频0.4w / 播放2400万,搜索热度+5%,月销5000单,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,江浙沪梅雨 - 双11 雨伞品类战报 抖音全面超越天猫,抖音,2025-12,话题挑战 | 女士雨伞 1.2亿 | 42w粉,抖音梅雨季/雨具实用赛道的话题挑战内容，账号江浙沪梅雨（本地资讯，42w粉），围绕话题#女士雨伞（1.2亿播放 / 2.4w视频 / 同比+6%），代表视频《双11 雨伞品类战报 抖音全面超越天猫》。,https://www.douyin.com/search/女士雨伞?type=video,视频2.4w / 播放1.2亿,搜索热度+24%,月销5万-10万单,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,雷鹏琳 - 黄景瑜同款三折黑胶伞 1688平替,抖音,2026-02,种草安利 | 黑胶伞 4.8亿 | 184w→200w粉,抖音全品类飞恋产品/工厂实拍赛道的种草安利内容，账号雷鹏琳（KOL+老板，184w→200w粉），围绕话题#黑胶伞（4.8亿播放 / 8.6w视频 / 同比+18%），代表视频《黄景瑜同款三折黑胶伞 1688平替》。,https://www.douyin.com/search/黑胶伞?type=video,视频8.6w / 播放4.8亿,搜索热度+8%,新上榜,单条爆款 3200万 播放 / 58万 赞 / 12.8万 评论
,,,,KOL小辣椒 - 这把伞能让外卖小哥续命 暴雨天,抖音,2026-04,实景测试 | 新娘婚庆红伞 1.8亿 | 150w粉,抖音雨伞场景植入赛道的实景测试内容，账号KOL小辣椒（美妆跨界，150w粉），围绕话题#新娘婚庆红伞（1.8亿播放 / 3.6w视频 / 同比+8%），代表视频《这把伞能让外卖小哥续命 暴雨天》。,https://www.douyin.com/search/新娘婚庆红伞?type=video,视频3.6w / 播放1.8亿,搜索热度+12%,月销10万+单,品牌任务 累计 6800 创作者参与 / 8.2w 视频
,,,,天堂伞官方 - 双11 雨伞品类战报 抖音全面超越天猫,抖音,2026-08-10,实景测试 | 源头工厂 12.4亿 | 18w粉,抖音国民品牌赛道的实景测试内容，账号天堂伞官方（品牌，18w粉），围绕话题#源头工厂（12.4亿播放 / 26.8w视频 / 同比+8%），代表视频《双11 雨伞品类战报 抖音全面超越天猫》。,https://www.douyin.com/search/源头工厂?type=video,视频26.8w / 播放12.4亿,搜索热度+18%,月销5万单,直播间同时在线 4.2万 / 累计观看 320万 / GMV 186万
,,,,夏天的雨伞 - 钓鱼伞万向节 1秒换角度,抖音,2026-Q2,反向种草 | 16骨大号伞 8600万 | 230w粉,抖音颜值党/ins风赛道的反向种草内容，账号夏天的雨伞（穿搭博主，230w粉），围绕话题#16骨大号伞（8600万播放 / 1.6w视频 / 同比+16%），代表视频《钓鱼伞万向节 1秒换角度》。,https://www.douyin.com/search/16骨大号伞?type=video,视频1.6w / 播放8600万,搜索热度++85%,月销1万-3万单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,浙江飞恋官方旗舰店 - 挑战飞恋手电筒伞 照亮3公里夜路,抖音,2026-02,PK对比 | 钛银胶伞 6400万 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的PK对比内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#钛银胶伞（6400万播放 / 1.2w视频 / 同比+22%），代表视频《挑战飞恋手电筒伞 照亮3公里夜路》。,https://www.douyin.com/search/钛银胶伞?type=video,视频1.2w / 播放6400万,搜索热度+新,月销5万-10万单,达人推广 触达 4200万 / 互动 86万 / 转化 12.4万
,,,,WPC官方 - 商务伞的隐藏功能 你绝对不知道,抖音,2025-12,直播间片段 | 钛银胶伞 6400万 | 8.4w粉,抖音日系/ins风赛道的直播间片段内容，账号WPC官方（日牌，8.4w粉），围绕话题#钛银胶伞（6400万播放 / 1.2w视频 / 同比+22%），代表视频《商务伞的隐藏功能 你绝对不知道》。,https://www.douyin.com/search/钛银胶伞?type=video,视频1.2w / 播放6400万,搜索热度+18%,月销1万-3万单,单条爆款 3200万 播放 / 58万 赞 / 12.8万 评论
,,,,舟山小船哥 - 机械臂钓鱼伞测评 万向旋转的快乐,抖音,2026-Q1,非遗手作 | 钓鱼伞 3.8亿 | 44w粉,抖音海上/极端天气雨伞赛道的非遗手作内容，账号舟山小船哥（渔民，44w粉），围绕话题#钓鱼伞（3.8亿播放 / 4.2w视频 / 同比+64.3%），代表视频《机械臂钓鱼伞测评 万向旋转的快乐》。,https://www.douyin.com/search/钓鱼伞?type=video,视频4.2w / 播放3.8亿,搜索热度+24%,月销2万单,单条爆款 3200万 播放 / 58万 赞 / 12.8万 评论
,,,,必朗官方 - 双11 雨伞品类战报 抖音全面超越天猫,抖音,2026-04,PK对比 | 五折口袋伞 8600万 | 12w粉,抖音中端雨伞赛道的PK对比内容，账号必朗官方（品牌，12w粉），围绕话题#五折口袋伞（8600万播放 / 1.6w视频 / 同比+15%），代表视频《双11 雨伞品类战报 抖音全面超越天猫》。,https://www.douyin.com/search/五折口袋伞?type=video,视频1.6w / 播放8600万,搜索热度++85%,月销5万-10万单,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,江浙沪包邮 - 从1688到抖音 这把反向折叠伞爆卖100万,抖音,2026-08-10,开箱测评 | 三折黑胶伞 3.6亿 | 28w粉,抖音源头工厂/直播赛道的开箱测评内容，账号江浙沪包邮（探店号，28w粉），围绕话题#三折黑胶伞（3.6亿播放 / 6.4w视频 / 同比+14%），代表视频《从1688到抖音 这把反向折叠伞爆卖100万》。,https://www.douyin.com/search/三折黑胶伞?type=video,视频6.4w / 播放3.6亿,搜索热度+46%,蝉妈妈销量榜Top 1,直播间同时在线 4.2万 / 累计观看 320万 / GMV 186万
,,,,9号伞业 - 我用这把伞给油纸伞重生的勇气,抖音,2026-08-12,开箱测评 | 蕾丝公主伞 4200万 | 8.4w粉,抖音1688同款/直供赛道的开箱测评内容，账号9号伞业（工厂直播，8.4w粉），围绕话题#蕾丝公主伞（4200万播放 / 0.8w视频 / 同比+24%），代表视频《我用这把伞给油纸伞重生的勇气》。,https://www.douyin.com/search/蕾丝公主伞?type=video,视频0.8w / 播放4200万,搜索热度+5%,蝉妈妈销量榜Top 3,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,BELLE MAISON - 梅雨季通勤神伞 5折口袋伞实测,抖音,2026-03,KOL体验 | 高尔夫伞 6200万 | 2.1w粉,抖音日系/家庭赛道的KOL体验内容，账号BELLE MAISON（日系，2.1w粉），围绕话题#高尔夫伞（6200万播放 / 1.2w视频 / 同比+11%），代表视频《梅雨季通勤神伞 5折口袋伞实测》。,https://www.douyin.com/search/高尔夫伞?type=video,视频1.2w / 播放6200万,搜索热度+新,蝉妈妈销量榜Top 10,GMV 单场 280万 / UV价值 38元 / 转化率 4.6%
,,,,吐泡沫的鱼 - 保康暴雨 暖视频里那把伞火了,抖音,2026-05,非遗手作 | 蕾丝防晒伞 6800万 | 30w+粉,抖音保康暖视频/雨伞/极端天气赛道的非遗手作内容，账号吐泡沫的鱼（生活记录，30w+粉），围绕话题#蕾丝防晒伞（6800万播放 / 1.2w视频 / 同比+21%），代表视频《保康暴雨 暖视频里那把伞火了》。,https://www.douyin.com/search/蕾丝防晒伞?type=video,视频1.2w / 播放6800万,搜索热度+8%,蝉妈妈销量榜Top 10,广告投放 ROI 3.2 / 单次转化成本 ¥4.8 / 月GMV 1200万
,,,,江浙沪包邮 - 我把价值¥200的伞丢进搅拌机 结果,抖音,2026-03,实景测试 | 雨伞防风 2.4亿 | 28w粉,抖音源头工厂/直播赛道的实景测试内容，账号江浙沪包邮（探店号，28w粉），围绕话题#雨伞防风（2.4亿播放 / 4.2w视频 / 同比+11%），代表视频《我把价值¥200的伞丢进搅拌机 结果》。,https://www.douyin.com/search/雨伞防风?type=video,视频4.2w / 播放2.4亿,搜索热度+5%,月销1万-3万单,累计播放 6800万 / 点赞 128万 / 评论 18.6万 / 转发 22.4万
,,,,南方暴雨 - 8款自动开合伞对比 谁才是真一键,抖音,2026-07,种草安利 | 机械臂钓鱼伞 2400万 | 200w+粉,抖音南方暴雨/出行赛道的种草安利内容，账号南方暴雨（气象，200w+粉），围绕话题#机械臂钓鱼伞（2400万播放 / 0.4w视频 / 同比+58%），代表视频《8款自动开合伞对比 谁才是真一键》。,https://www.douyin.com/search/机械臂钓鱼伞?type=video,视频0.4w / 播放2400万,搜索热度++85%,月销5万-10万单,挑战赛 #夏日雨伞 累计参与视频 12.4w 条 / 播放 8.6亿
,,,,夏天的阳台 - 台风天的12骨伞 比花伞强在哪,抖音,2026-01,短视频带货 | 16骨大号伞 8600万 | 82w粉,抖音阳台/居家/雨具美学赛道的短视频带货内容，账号夏天的阳台（生活方式，82w粉），围绕话题#16骨大号伞（8600万播放 / 1.6w视频 / 同比+16%），代表视频《台风天的12骨伞 比花伞强在哪》。,https://www.douyin.com/search/16骨大号伞?type=video,视频1.6w / 播放8600万,搜索热度+46%,月销10万+单,挑战赛 #夏日雨伞 累计参与视频 12.4w 条 / 播放 8.6亿
,,,,南方暴雨 - 商务伞的隐藏功能 你绝对不知道,抖音,2025-Q4,实景测试 | 飞恋伞 9200万 | 200w+粉,抖音南方暴雨/出行赛道的实景测试内容，账号南方暴雨（气象，200w+粉），围绕话题#飞恋伞（9200万播放 / 1.8w视频 / 同比+62%），代表视频《商务伞的隐藏功能 你绝对不知道》。,https://www.douyin.com/search/飞恋伞?type=video,视频1.8w / 播放9200万,搜索热度++85%,月销3万-5万单,千川 投放 单计划日耗 ¥8000 / 转化 2.4万 / 客单价 ¥58
,,,,黑雨伞工厂店 - 12骨 vs 8骨 vs 6骨 哪种才防风,抖音,2026-06,实景测试 | ins风伞 9200万 | 12.8w粉,抖音黑胶/防紫外线/抖音爆款赛道的实景测试内容，账号黑雨伞工厂店（源头工厂，12.8w粉），围绕话题#ins风伞（9200万播放 / 1.8w视频 / 同比+28%），代表视频《12骨 vs 8骨 vs 6骨 哪种才防风》。,https://www.douyin.com/search/ins风伞?type=video,视频1.8w / 播放9200万,搜索热度+5%,月销5万单,累计播放 6800万 / 点赞 128万 / 评论 18.6万 / 转发 22.4万
,,,,江浙沪梅雨 - 这把伞能让外卖小哥续命 暴雨天,抖音,2026-01,反向种草 | 折叠伞 12.4亿 | 42w粉,抖音梅雨季/雨具实用赛道的反向种草内容，账号江浙沪梅雨（本地资讯，42w粉），围绕话题#折叠伞（12.4亿播放 / 26.8w视频 / 同比+5%），代表视频《这把伞能让外卖小哥续命 暴雨天》。,https://www.douyin.com/search/折叠伞?type=video,视频26.8w / 播放12.4亿,搜索热度+新,月销3万-5万单,抖音电商 运动户外榜 投放榜 Top 1
,,,,雷鹏琳 - 暴雨12小时 12骨伞全程无故障,抖音,2026-02,工艺揭秘 | 男士商务伞 6800万 | 184w→200w粉,抖音全品类飞恋产品/工厂实拍赛道的工艺揭秘内容，账号雷鹏琳（KOL+老板，184w→200w粉），围绕话题#男士商务伞（6800万播放 / 1.2w视频 / 同比+9%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/男士商务伞?type=video,视频1.2w / 播放6800万,搜索热度+8%,月销2万单,挑战赛 #夏日雨伞 累计参与视频 12.4w 条 / 播放 8.6亿
,,,,夏天的阳台 - 钓鱼伞万向节 1秒换角度,抖音,2026-08-05,PK对比 | 黑胶伞 4.8亿 | 82w粉,抖音阳台/居家/雨具美学赛道的PK对比内容，账号夏天的阳台（生活方式，82w粉），围绕话题#黑胶伞（4.8亿播放 / 8.6w视频 / 同比+18%），代表视频《钓鱼伞万向节 1秒换角度》。,https://www.douyin.com/search/黑胶伞?type=video,视频8.6w / 播放4.8亿,搜索热度+18%,月销5000单,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,Knirps克尼普斯 - 油纸伞72道工艺 一把伞做3个月,抖音,2026-02,PK对比 | 钓鱼伞 3.8亿 | 5.6w粉,抖音高端商务赛道的PK对比内容，账号Knirps克尼普斯（德系，5.6w粉），围绕话题#钓鱼伞（3.8亿播放 / 4.2w视频 / 同比+64.3%），代表视频《油纸伞72道工艺 一把伞做3个月》。,https://www.douyin.com/search/钓鱼伞?type=video,视频4.2w / 播放3.8亿,搜索热度+新,蝉妈妈销量榜Top 1,千川 投放 单计划日耗 ¥8000 / 转化 2.4万 / 客单价 ¥58
